Source,Source Feed URL,Role,Company,Location,Posted Date,Trust,Quality,Final,Badge,Fraud Risk %,Listing URL,Apply URL
Remotive API,https://remotive.com/api/remote-jobs,Mid/Senior AI Cinematic Video Editor (Full Remote - Worldwide),EverAI,Worldwide,"May 19, 2026 (5 days ago)",92.0,93.0,92.3,Trusted Pick,0.64,https://remotive.com/remote-jobs/artificial-intelligence/mid-senior-ai-cinematic-video-editor-full-remote-worldwide-2090887,https://remotive.com/remote-jobs/artificial-intelligence/mid-senior-ai-cinematic-video-editor-full-remote-worldwide-2090887
Remotive API,https://remotive.com/api/remote-jobs,Staff Product Engineer,LawnStarter,Brazil,"May 21, 2026 (3 days ago)",91.28,88.0,90.3,Trusted Pick,1.94,https://remotive.com/remote-jobs/product/staff-product-engineer-2090890,https://remotive.com/remote-jobs/product/staff-product-engineer-2090890
Remotive API,https://remotive.com/api/remote-jobs,Paid Media Specialist,Noventra Group Europe,Worldwide,"May 18, 2026 (6 days ago)",91.85,82.0,88.9,Trusted Pick,0.9,https://remotive.com/remote-jobs/marketing/paid-media-specialist-2090885,https://remotive.com/remote-jobs/marketing/paid-media-specialist-2090885
Jobicy API,https://jobicy.com/api/v2/remote-jobs?count=100,Inside Sales Representative – London,Tripadvisor,UK,"May 24, 2026 (today)",92.99,78.0,88.5,Trusted Pick,1.28,https://jobicy.com/jobs/144723-inside-sales-representative-london,https://jobicy.com/jobs/144723-inside-sales-representative-london
Jobicy API,https://jobicy.com/api/v2/remote-jobs?count=100,Business Development Representative – London,Tripadvisor,UK,"May 24, 2026 (today)",92.98,78.0,88.48,Trusted Pick,1.32,https://jobicy.com/jobs/144725-business-development-representative-london,https://jobicy.com/jobs/144725-business-development-representative-london
Remotive API,https://remotive.com/api/remote-jobs,Senior Independent Software Developer,A.Team,"Americas, Europe, Israel","May 16, 2026 (8 days ago)",91.77,78.0,87.64,Trusted Pick,1.05,https://remotive.com/remote-jobs/software-development/senior-independent-software-developer-1919265,https://remotive.com/remote-jobs/software-development/senior-independent-software-developer-1919265
Jobicy API,https://jobicy.com/api/v2/remote-jobs?count=100,Privacy Counsel,HackerOne,UK,"May 24, 2026 (today)",89.36,82.0,87.15,Trusted Pick,1.35,https://jobicy.com/jobs/144721-privacy-counsel,https://jobicy.com/jobs/144721-privacy-counsel
Jobicy API,https://jobicy.com/api/v2/remote-jobs?count=100,Part-time Online Data Analyst – Latvian (LV),TELUS International,Latvia,"May 24, 2026 (today)",92.77,70.0,85.94,Trusted Pick,1.7,https://jobicy.com/jobs/144722-part-time-online-data-analyst-latvian-lv,https://jobicy.com/jobs/144722-part-time-online-data-analyst-latvian-lv
Jobicy API,https://jobicy.com/api/v2/remote-jobs?count=100,Part-time Online Ad Rater – German (PL),TELUS International,Poland,"May 24, 2026 (today)",90.16,76.0,85.91,Trusted Pick,1.53,https://jobicy.com/jobs/144724-part-time-online-ad-rater-german-pl,https://jobicy.com/jobs/144724-part-time-online-ad-rater-german-pl
Remotive API,https://remotive.com/api/remote-jobs,Senior Independent AI Engineer / Architect,A.Team,"Americas, Europe, Israel","May 16, 2026 (8 days ago)",91.1,70.0,84.77,Promising,2.26,https://remotive.com/remote-jobs/software-development/senior-independent-ai-engineer-architect-1919266,https://remotive.com/remote-jobs/software-development/senior-independent-ai-engineer-architect-1919266
USAJOBS API,https://data.usajobs.gov/api/search,Safety and Public Health Analysis,Agricultural Marketing Service,Anywhere in the U.S. (remote job),"May 20, 2026 (4 days ago)",91.12,69.0,84.48,Promising,4.7,https://www.usajobs.gov:443/job/869998000,https://www.usajobs.gov:443/job/869998000
USAJOBS API,https://data.usajobs.gov/api/search,Organics Compliance Review,Agricultural Marketing Service,Anywhere in the U.S. (remote job),"May 20, 2026 (4 days ago)",90.76,69.0,84.23,Promising,5.35,https://www.usajobs.gov:443/job/869998400,https://www.usajobs.gov:443/job/869998400
USAJOBS API,https://data.usajobs.gov/api/search,Investigator,Office of Accountability and Whistleblower Protection,Anywhere in the U.S. (remote job),"May 22, 2026 (2 days ago)",88.95,73.0,84.17,Promising,6.18,https://www.usajobs.gov:443/job/870261800,https://www.usajobs.gov:443/job/870261800
We Work Remotely RSS,https://weworkremotely.com/remote-jobs.rss,"Director, AI Product Development",Centralreach,Anywhere in the World,"May 22, 2026 (2 days ago)",82.92,85.0,83.54,Promising,10.61,https://weworkremotely.com/remote-jobs/centralreach-director-ai-product-development,https://weworkremotely.com/remote-jobs/centralreach-director-ai-product-development
We Work Remotely RSS,https://weworkremotely.com/remote-jobs.rss,Product Marketing Manager (B2B for life sciences/pharma/biotech),Viseven,Anywhere in the World,"May 22, 2026 (2 days ago)",83.37,83.0,83.26,Promising,9.78,https://weworkremotely.com/remote-jobs/viseven-product-marketing-manager-b2b-for-life-sciences-pharma-biotech,https://weworkremotely.com/remote-jobs/viseven-product-marketing-manager-b2b-for-life-sciences-pharma-biotech
We Work Remotely RSS,https://weworkremotely.com/remote-jobs.rss,"Senior Software Engineer, Platform",Speechify Inc,"Anywhere in the World, Florida","May 23, 2026 (1 day ago)",88.09,70.0,82.66,Promising,1.21,https://weworkremotely.com/remote-jobs/speechify-inc-senior-software-engineer-platform-1,https://weworkremotely.com/remote-jobs/speechify-inc-senior-software-engineer-platform-1
We Work Remotely RSS,https://weworkremotely.com/remote-jobs.rss,Junior Full-Stack Developer (Laravel and VueJS),Appetiser,Anywhere in the World,"May 22, 2026 (2 days ago)",84.51,72.0,80.76,Promising,7.7,https://weworkremotely.com/remote-jobs/appetiser-junior-full-stack-developer-laravel-and-vuejs,https://weworkremotely.com/remote-jobs/appetiser-junior-full-stack-developer-laravel-and-vuejs
