Source,Source Feed URL,Role,Company,Location,Posted Date,Trust,Quality,Final,Badge,Fraud Risk %,Listing URL,Apply URL
Remotive API,https://remotive.com/api/remote-jobs,Mid/Senior AI Cinematic Video Editor (Full Remote - Worldwide),EverAI,Worldwide,"May 19, 2026 (5 days ago)",92.0,93.0,92.3,Trusted Pick,0.64,https://remotive.com/remote-jobs/artificial-intelligence/mid-senior-ai-cinematic-video-editor-full-remote-worldwide-2090887,https://remotive.com/remote-jobs/artificial-intelligence/mid-senior-ai-cinematic-video-editor-full-remote-worldwide-2090887
Remotive API,https://remotive.com/api/remote-jobs,Senior AI Video Artist,EverAI,Worldwide,"Apr 24, 2026 (30 days ago)",91.89,88.0,90.72,Trusted Pick,0.84,https://remotive.com/remote-jobs/marketing/senior-ai-video-artist-2089994,https://remotive.com/remote-jobs/marketing/senior-ai-video-artist-2089994
Remotive API,https://remotive.com/api/remote-jobs,Staff Product Engineer,LawnStarter,Brazil,"May 21, 2026 (3 days ago)",91.28,88.0,90.3,Trusted Pick,1.94,https://remotive.com/remote-jobs/product/staff-product-engineer-2090890,https://remotive.com/remote-jobs/product/staff-product-engineer-2090890
Remotive API,https://remotive.com/api/remote-jobs,iOS Developer,nooro,USA,"May 09, 2026 (15 days ago)",91.56,85.0,89.59,Trusted Pick,1.44,https://remotive.com/remote-jobs/software-development/ios-developer-1956455,https://nooro-us.com/
USAJOBS API,https://data.usajobs.gov/api/search,Radiologist- Hampton (Remote),Veterans Health Administration,Anywhere in the U.S. (remote job),"May 15, 2026 (9 days ago)",90.58,87.0,89.51,Trusted Pick,5.66,https://www.usajobs.gov:443/job/869547800,https://www.usajobs.gov:443/job/869547800
Remotive API,https://remotive.com/api/remote-jobs,Office Assistant,Coalition Technologies,Worldwide,"May 11, 2026 (13 days ago)",89.68,89.0,89.48,Trusted Pick,4.86,https://remotive.com/remote-jobs/marketing/office-assistant-1680495,https://remotive.com/remote-jobs/marketing/office-assistant-1680495
USAJOBS API,https://data.usajobs.gov/api/search,Physician - Cardiology,Veterans Health Administration,Anywhere in the U.S. (remote job),"May 13, 2026 (12 days ago)",91.29,85.0,89.4,Trusted Pick,4.38,https://www.usajobs.gov:443/job/869105800,https://www.usajobs.gov:443/job/869105800
Remotive API,https://remotive.com/api/remote-jobs,Business Transformation Lead,Expion Health,USA,"May 13, 2026 (11 days ago)",91.48,84.0,89.24,Trusted Pick,1.58,https://remotive.com/remote-jobs/artificial-intelligence/business-transformation-lead-2090881,https://remotive.com/remote-jobs/artificial-intelligence/business-transformation-lead-2090881
Remotive API,https://remotive.com/api/remote-jobs,Senior Full-stack React Developer,Lemon.io,"Americas, Europe, Asia, Oceania","May 15, 2026 (9 days ago)",93.19,80.0,89.23,Trusted Pick,0.93,https://remotive.com/remote-jobs/software-development/senior-full-stack-react-developer-2088711,https://remotive.com/remote-jobs/software-development/senior-full-stack-react-developer-2088711
Remotive API,https://remotive.com/api/remote-jobs,Paid Media Specialist,Noventra Group Europe,Worldwide,"May 18, 2026 (6 days ago)",91.85,82.0,88.9,Trusted Pick,0.9,https://remotive.com/remote-jobs/marketing/paid-media-specialist-2090885,https://remotive.com/remote-jobs/marketing/paid-media-specialist-2090885
USAJOBS API,https://data.usajobs.gov/api/search,Physician-Diagnostic Radiologist-Recruitment/Relocation Incentive-EDRP Authorized,Veterans Health Administration,Anywhere in the U.S. (remote job),"May 08, 2026 (16 days ago)",91.17,83.0,88.72,Trusted Pick,4.61,https://www.usajobs.gov:443/job/868648600,https://www.usajobs.gov:443/job/868648600
Remotive API,https://remotive.com/api/remote-jobs,Senior DevOps Engineer,Lemon.io,"Americas, Europe, Asia, Oceania","Apr 30, 2026 (24 days ago)",93.16,78.0,88.61,Trusted Pick,0.98,https://remotive.com/remote-jobs/devops/senior-devops-engineer-2090002,https://remotive.com/remote-jobs/devops/senior-devops-engineer-2090002
Jobicy API,https://jobicy.com/api/v2/remote-jobs?count=100,Inside Sales Representative – London,Tripadvisor,UK,"May 24, 2026 (today)",92.99,78.0,88.5,Trusted Pick,1.28,https://jobicy.com/jobs/144723-inside-sales-representative-london,https://jobicy.com/jobs/144723-inside-sales-representative-london
