Source,Source Feed URL,Role,Company,Location,Posted Date,Trust,Quality,Final,Badge,Fraud Risk %,Listing URL,Apply URL
We Work Remotely RSS,https://weworkremotely.com/remote-jobs.rss,Staff Software Engineer - AI Website Builder - US (Remote),Luxury Presence,Anywhere in the World,"May 21, 2026 (3 days ago)",88.22,90.0,88.75,Trusted Pick,0.97,https://weworkremotely.com/remote-jobs/luxury-presence-staff-software-engineer-ai-website-builder-us-remote,https://weworkremotely.com/remote-jobs/luxury-presence-staff-software-engineer-ai-website-builder-us-remote
We Work Remotely RSS,https://weworkremotely.com/remote-jobs.rss,"Senior Manager, Finance Strategy & Planning",Cohesity,Washington,"May 21, 2026 (3 days ago)",87.76,88.0,87.83,Trusted Pick,1.81,https://weworkremotely.com/remote-jobs/cohesity-senior-manager-finance-strategy-planning,https://weworkremotely.com/remote-jobs/cohesity-senior-manager-finance-strategy-planning
We Work Remotely RSS,https://weworkremotely.com/remote-jobs.rss,Staff Product Engineer,LawnStarter,Anywhere in the World,"May 21, 2026 (3 days ago)",87.66,85.0,86.86,Trusted Pick,1.99,https://weworkremotely.com/remote-jobs/lawnstarter-staff-product-engineer,https://weworkremotely.com/remote-jobs/lawnstarter-staff-product-engineer
We Work Remotely RSS,https://weworkremotely.com/remote-jobs.rss,Senior Webflow Designer,LawnStarter,Anywhere in the World,"May 20, 2026 (4 days ago)",86.06,84.0,85.44,Trusted Pick,4.9,https://weworkremotely.com/remote-jobs/lawnstarter-senior-webflow-designer,https://weworkremotely.com/remote-jobs/lawnstarter-senior-webflow-designer
We Work Remotely RSS,https://weworkremotely.com/remote-jobs.rss,Senior Product Manager - Remote - 13.5-18.3k CLT,Vinta,Anywhere in the World,"May 21, 2026 (3 days ago)",84.82,85.0,84.87,Promising,7.14,https://weworkremotely.com/remote-jobs/vinta-senior-product-manager-remote-13-5-18-3k-clt,https://weworkremotely.com/remote-jobs/vinta-senior-product-manager-remote-13-5-18-3k-clt
We Work Remotely RSS,https://weworkremotely.com/remote-jobs.rss,Entry-Level Account Manager,NoGigiddy,"Anywhere in the World, Georgia","May 20, 2026 (4 days ago)",86.46,81.0,84.82,Promising,4.17,https://weworkremotely.com/remote-jobs/nogigiddy-entry-level-account-manager-4,https://weworkremotely.com/remote-jobs/nogigiddy-entry-level-account-manager-4
We Work Remotely RSS,https://weworkremotely.com/remote-jobs.rss,"Senior Product Analyst, Remote",Aledade,Anywhere in the World,"May 22, 2026 (2 days ago)",83.42,86.0,84.19,Promising,9.7,https://weworkremotely.com/remote-jobs/aledade-senior-product-analyst-remote,https://weworkremotely.com/remote-jobs/aledade-senior-product-analyst-remote
We Work Remotely RSS,https://weworkremotely.com/remote-jobs.rss,Full-Stack Developer — .NET + React + Azure — Remote (US),ShiftForce LLC,"Anywhere in the World, Missouri","May 20, 2026 (4 days ago)",88.01,75.0,84.11,Promising,1.34,https://weworkremotely.com/remote-jobs/shiftforce-llc-full-stack-developer-net-react-azure-remote-us,https://weworkremotely.com/remote-jobs/shiftforce-llc-full-stack-developer-net-react-azure-remote-us
We Work Remotely RSS,https://weworkremotely.com/remote-jobs.rss,Operations Manager (Germany),EY,Anywhere in the World,"May 21, 2026 (3 days ago)",87.84,74.0,83.69,Promising,1.65,https://weworkremotely.com/remote-jobs/ey-operations-manager-germany,https://weworkremotely.com/remote-jobs/ey-operations-manager-germany
We Work Remotely RSS,https://weworkremotely.com/remote-jobs.rss,Data Labeling Specialist — Remote Contract Work ($18-$22 per hour),Workada,"Anywhere in the World, California, 🇺🇸 United States of America","May 21, 2026 (3 days ago)",86.47,77.0,83.63,Promising,4.15,https://weworkremotely.com/remote-jobs/workada-data-labeling-specialist-remote-contract-work-18-22-per-hour,https://weworkremotely.com/remote-jobs/workada-data-labeling-specialist-remote-contract-work-18-22-per-hour
