Source,Role,Company,Location,CV Match %,Trust,Quality,Final,Fraud Risk %,Badge,Listing URL,Apply URL
We Work Remotely RSS,AI Engineer/Python Develope,Toptal,"Anywhere in the World, California, 🇮🇳 India",67.16,87.32,62.0,79.72,2.6,Promising,https://weworkremotely.com/remote-jobs/toptal-ai-engineer-python-develope,https://weworkremotely.com/remote-jobs/toptal-ai-engineer-python-develope
Jobicy API,Associate Staff Engineer(AI),Nagarro,China,4.18,92.82,69.0,85.67,1.6,Trusted Pick,https://jobicy.com/jobs/144522-associate-staff-engineerai,https://jobicy.com/jobs/144522-associate-staff-engineerai
Jobicy API,"Sr. Engineering Manager, Agentic Data Plane",Redpanda Data,Poland,3.87,93.22,80.0,89.26,0.87,Trusted Pick,https://jobicy.com/jobs/144516-sr-engineering-manager-agentic-data-plane,https://jobicy.com/jobs/144516-sr-engineering-manager-agentic-data-plane
We Work Remotely RSS,DevOps Engineer (Remote),Rhino Partners,Anywhere in the World,3.75,81.91,57.0,74.44,12.44,Promising,https://weworkremotely.com/remote-jobs/rhino-partners-devops-engineer-remote,https://weworkremotely.com/remote-jobs/rhino-partners-devops-engineer-remote
Jobicy API,"Software Engineer, Agentic Data Plane",Redpanda Data,Poland,3.63,93.24,80.0,89.27,0.84,Trusted Pick,https://jobicy.com/jobs/144511-software-engineer-agentic-data-plane,https://jobicy.com/jobs/144511-software-engineer-agentic-data-plane
Jobicy API,AI Engineer,Ruby Labs,Ukraine,3.61,92.41,79.0,88.39,2.35,Trusted Pick,https://jobicy.com/jobs/144512-ai-engineer-3,https://rubylabs.com/about-us/
We Work Remotely RSS,Senior Devops Engineer,Woliba,Anywhere in the World,3.52,83.99,66.0,78.6,8.65,Promising,https://weworkremotely.com/remote-jobs/woliba-senior-devops-engineer,https://weworkremotely.com/remote-jobs/woliba-senior-devops-engineer
Jobicy API,AI/ML Engineering,Cint,Czechia,3.48,92.58,88.0,91.21,2.04,Trusted Pick,https://jobicy.com/jobs/144709-ai-ml-engineering,https://jobicy.com/jobs/144709-ai-ml-engineering
We Work Remotely RSS,DevOps Engineer,Alice,Anywhere in the World,3.4,83.59,75.0,81.01,9.39,Promising,https://weworkremotely.com/remote-jobs/alice-devops-engineer,https://weworkremotely.com/remote-jobs/alice-devops-engineer
Jobicy API,"Staff Software Engineer, Agentic Data Plane (Poland)",Redpanda Data,Poland,3.39,93.03,79.0,88.82,1.21,Trusted Pick,https://jobicy.com/jobs/144510-staff-software-engineer-agentic-data-plane-poland,https://jobicy.com/jobs/144510-staff-software-engineer-agentic-data-plane-poland
We Work Remotely RSS,Staff Software Engineer - Data Infrastructure,Praia Health Inc.,"Anywhere in the World, Washington, 🇨🇦 Canada and 🇺🇸 United States of America",3.35,87.56,78.0,84.69,2.16,Promising,https://weworkremotely.com/remote-jobs/praia-health-inc-staff-software-engineer-data-infrastructure,https://weworkremotely.com/remote-jobs/praia-health-inc-staff-software-engineer-data-infrastructure
Remotive API,Senior DevOps Engineer,Lemon.io,"Americas, Europe, Asia, Oceania",3.33,93.16,78.0,88.61,0.98,Trusted Pick,https://remotive.com/remote-jobs/devops/senior-devops-engineer-2090002,https://remotive.com/remote-jobs/devops/senior-devops-engineer-2090002
